iso3,country,year,F1_institutional,F2_macro,F3_openness,F4_energy,F5_security,F6_human_capital,F7_financial,fdi_pct_gdp,fdi_usd,cici_score,cici_rank
JOR,Jordan,2000,64.30016844333888,43.40189589884691,58.30900142577071,49.410297999214315,54.84195592364646,12.43725331209017,63.75070130588691,10.7940053678297,913258110.014104,56.7,5
JOR,Jordan,2001,60.549087155207296,44.48561352967366,57.68292117417041,49.41367242180676,50.0,11.34374824014027,63.75070130588691,3.04850514227071,273628171.251893,54.89,4
JOR,Jordan,2002,56.79800586707571,46.1995207439951,60.5350609602172,49.74193863552104,51.42533333500851,10.61474485884034,63.75070130588691,2.48601734100151,238222874.679327,55.31,6
JOR,Jordan,2003,63.01998784800162,44.46124958901558,61.535886808856496,49.39412781094137,53.81959313895671,44.9871851852118,63.75070130588691,5.36472671434697,546967559.943582,57.94,5
JOR,Jordan,2004,62.74535239241049,46.45772725767941,72.88519944914754,49.53144791147486,53.89471203081101,9.610542701099677,63.75070130588691,8.2092227069918,936812411.847672,60.65,3
JOR,Jordan,2005,63.107369882833154,48.53370551620532,80.25785719374853,49.38446852504313,54.44512672471644,47.19996288995079,63.75070130588691,15.7636461414358,1984485190.40902,63.86,2
JOR,Jordan,2006,61.23083062801192,49.96346239654268,77.16082964700485,50.37241934713698,50.37123036205909,9.338988941565464,63.75070130588691,23.5372913427131,3544005641.74894,61.22,4
JOR,Jordan,2007,64.54597838491414,50.96784181689126,79.70904860206771,49.75821268936126,54.33700838862253,49.768567186327914,63.75070130588691,15.3248262609959,2622144778.84371,64.13,3
JOR,Jordan,2008,65.67990576353712,52.91477165114117,76.66013642099023,54.533565340609854,53.529804058542986,12.619504157415156,42.30695972192663,12.4753075049094,2826744496.33301,61.17,5
JOR,Jordan,2009,62.9230575111875,53.21213236501567,59.40290062889526,52.67247815707955,53.07890594692327,13.713009229365058,34.63628383129818,9.83417874476547,2413098591.54929,54.19,6
JOR,Jordan,2010,60.78781253173912,50.85921636062516,60.645357227773566,51.33538566592912,53.29100029297226,49.888284833715645,30.373457007291226,6.22247566973912,1688394366.19718,54.23,6
JOR,Jordan,2011,61.81552922184511,51.09261781998322,63.33166402720345,52.37545359267551,51.29346464225633,53.195060728425446,24.581515055515148,5.03335872688489,1486056338.02816,54.56,6
JOR,Jordan,2012,62.088516619394824,49.71121857167049,62.825189005812966,51.97596148910813,51.61441372989347,54.518784817893184,22.758431178732884,4.89480688682321,1548450704.22535,54.27,6
JOR,Jordan,2013,60.86435149659874,47.70152919667205,58.98260197510099,50.81133503082015,50.83176072991745,8.24548386961556,19.96147968812589,5.64977168714588,1946597204.04209,51.21,6
JOR,Jordan,2014,62.01808156695341,47.37886667660533,58.074932777831165,50.81544457494125,51.50838731269951,6.969727952340672,18.511926763414888,5.91204890205889,2178450704.22535,51.1,6
JOR,Jordan,2015,63.75946774682822,47.21005820458963,49.32605249620904,51.0505860954718,51.236122305045704,9.264266094982212,17.605752198342337,4.14720229174937,1600281690.14084,48.75,7
JOR,Jordan,2016,63.81226450841322,48.11772667545582,45.34357917433132,50.90201261756431,52.13992561451283,11.589786881329006,16.440679071611637,3.89285142868971,1552957746.47887,47.62,7
JOR,Jordan,2017,63.96639848193919,47.38926406174473,45.95013261116283,50.696057451220646,52.96749919455036,13.942645294474534,15.37323655518564,4.87814133167977,2029718309.85915,47.87,8
JOR,Jordan,2018,62.07932953807142,52.5278269096112,44.69267193616534,50.50454933208217,54.04417013970989,52.82758033440109,13.991025245828984,2.20177686575576,954929577.464788,48.03,8
JOR,Jordan,2019,62.2867868270198,46.4777953226536,43.52377691982262,49.96208607558596,54.3779870151458,12.149296976476696,12.611866351144055,1.63970565115643,729718309.859154,46.58,10
JOR,Jordan,2020,62.70051638960203,45.88680281724158,31.74658263678838,49.96916012092876,54.01261982982018,13.434165436017835,11.113175354653368,1.73975978294192,760281690.140845,42.88,11
JOR,Jordan,2021,61.07286608748881,42.44740150947151,40.31067234262116,49.99000797545863,53.43879209381246,11.1068221412178,12.5955355110127,1.34316062049226,621830985.915492,45.11,11
JOR,Jordan,2022,61.5515888951117,41.026088297826846,54.56878714220844,100.0,54.14104465727117,10.897233669094064,13.914751947928206,1.97382535440765,962535211.267605,58.64,8
